,winner,loser,court,Type,set1.1,set1.2,set2.1,set2.2,set3.1,set3.2
111,Alessandro Giannessi,Mirza Basic,Outdoor,Hard,6,4,6,2,0,0
112,Mohamed Safwat,Vincent Millot,Outdoor,Hard,6,3,0,6,6,2
113,Nikoloz Basilashvili,Luca Vanni,Outdoor,Hard,6,1,7,5,0,0
114,Radek Stepanek,Lorenzo Giustino,Outdoor,Hard,5,7,7,5,6,4
115,Mirza Basic,Marco Chiudinelli,Outdoor,Hard,6,4,0,6,6,1
116,Vincent Millot,Thomas Fabbiano,Outdoor,Hard,6,7,6,3,6,1
117,Enrique Lopez-Perez,Evgeny Donskoy,Outdoor,Hard,6,4,6,4,0,0
118,Mohamed Safwat,Taro Daniel,Outdoor,Hard,7,6,6,2,0,0
119,Alessandro Giannessi,Mousa Shanan Zayed,Outdoor,Hard,6,2,6,1,0,0
120,Vasek Pospisil,Jabor Al-Mutawa,Outdoor,Hard,6,2,6,2,0,0
121,Gilles Muller,Daniel Evans,Outdoor,Hard,7,6,6,2,0,0
122,Gilles Muller,Viktor Troicki,Outdoor,Hard,6,3,7,6,0,0
123,Daniel Evans,Andrey Kuznetsov,Outdoor,Hard,6,2,3,6,6,3
124,Daniel Evans,Dominic Thiem,Outdoor,Hard,3,6,6,4,6,1
125,Gilles Muller,Pablo Cuevas,Outdoor,Hard,7,6,6,4,0,0
126,Viktor Troicki,Philipp Kohlschreiber,Outdoor,Hard,(,W,0,0,0,0
127,Andrey Kuznetsov,Pablo Carreno Busta,Outdoor,Hard,2,6,6,4,6,1
128,Dominic Thiem,Gastao Elias,Outdoor,Hard,6,7,6,3,7,5
129,Pablo Cuevas,Nicolas Mahut,Outdoor,Hard,6,4,2,6,6,2
130,Viktor Troicki,Paolo Lorenzi,Outdoor,Hard,6,3,6,4,0,0
131,Pablo Carreno Busta,Mischa Zverev,Outdoor,Hard,3,6,7,6,6,3
132,Philipp Kohlschreiber,Jordan Thompson,Outdoor,Hard,7,5,6,4,0,0
133,Gilles Muller,Matthew Barton,Outdoor,Hard,6,1,3,6,6,4
134,Daniel Evans,Marcel Granollers,Outdoor,Hard,1,6,6,3,6,3
135,Andrey Kuznetsov,Alex de Minaur,Outdoor,Hard,6,2,(,R,0,0
136,Philipp Kohlschreiber,Fabio Fognini,Outdoor,Hard,6,4,6,4,0,0
137,Gilles Muller,Alexandr Dolgopolov,Outdoor,Hard,3,6,6,3,7,5
138,Andrey Kuznetsov,Martin Klizan,Outdoor,Hard,2,6,6,1,3,0
139,Marcel Granollers,Santiago Giraldo,Outdoor,Hard,6,7,7,5,6,3
140,Matthew Barton,Kyle Edmund,Outdoor,Hard,7,6,7,6,0,0
141,Alex de Minaur,Benoit Paire,Outdoor,Hard,6,3,3,6,7,6
142,Gastao Elias,Christopher O'Connell,Outdoor,Hard,6,7,6,4,6,1
143,Daniel Evans,Thiago Monteiro,Outdoor,Hard,6,3,4,6,6,3
144,Paolo Lorenzi,Florian Mayer,Outdoor,Hard,7,6,4,6,7,6
145,Nicolas Mahut,Thomaz Bellucci,Outdoor,Hard,6,2,7,6,0,0
146,Jordan Thompson,Nikoloz Basilashvili,Outdoor,Hard,7,5,6,2,0,0
147,Mischa Zverev,Nicolas Almagro,Outdoor,Hard,6,4,6,2,0,0
148,Gastao Elias,Nikoloz Basilashvili,Outdoor,Hard,7,6,6,4,0,0
149,Thiago Monteiro,Santiago Giraldo,Outdoor,Hard,6,3,6,1,0,0
150,Matthew Barton,Mathias Bourgue,Outdoor,Hard,6,3,6,1,0,0
151,Christopher O'Connell,Enrique Lopez-Perez,Outdoor,Hard,6,3,7,5,0,0
152,Mathias Bourgue,Paul-Henri Mathieu,Outdoor,Hard,0,2,(,R,0,0
153,Christopher O'Connell,Illya Marchenko,Outdoor,Hard,6,3,6,3,0,0
154,Gastao Elias,Luca Vanni,Outdoor,Hard,6,4,4,6,6,2
155,Thiago Monteiro,Thomas Fabbiano,Outdoor,Hard,5,7,7,6,6,3
156,Matthew Barton,Mikhail Kukushkin,Outdoor,Hard,7,6,7,5,0,0
157,Santiago Giraldo,Andrew Whittington,Outdoor,Hard,7,6,6,4,0,0
158,Enrique Lopez-Perez,Dusan Lajovic,Outdoor,Hard,6,3,6,4,0,0
159,Nikoloz Basilashvili,Rogerio Dutra Silva,Outdoor,Hard,6,4,6,3,0,0
160,Jack Sock,Joao Sousa,Outdoor,Hard,6,3,5,7,6,3
161,Jack Sock,Steve Johnson,Outdoor,Hard,6,4,6,3,0,0
162,Joao Sousa,Marcos Baghdatis,Outdoor,Hard,6,1,7,5,0,0
163,Steve Johnson,John Isner,Outdoor,Hard,6,3,5,7,7,6
164,Jack Sock,Jeremy Chardy,Outdoor,Hard,5,7,6,4,6,3
165,Marcos Baghdatis,Jiri Vesely,Outdoor,Hard,6,2,6,4,0,0
166,Joao Sousa,Robin Haase,Outdoor,Hard,6,3,6,2,0,0
167,John Isner,Malek Jaziri,Outdoor,Hard,6,3,3,6,7,6
168,Robin Haase,David Ferrer,Outdoor,Hard,2,6,6,4,7,6
169,Jack Sock,Ryan Harrison,Outdoor,Hard,7,6,4,6,6,1
170,Jeremy Chardy,Feliciano Lopez,Outdoor,Hard,(,W,0,0,0,0
171,Steve Johnson,Yen-Hsun Lu,Outdoor,Hard,6,4,7,6,0,0
172,Marcos Baghdatis,Dustin Brown,Outdoor,Hard,4,6,7,6,6,4
173,Joao Sousa,Brydan Klein,Outdoor,Hard,6,3,6,4,0,0
174,Jiri Vesely,Rubin Statham,Outdoor,Hard,6,7,7,5,6,3
175,Joao Sousa,Albert Ramos-Vinolas,Outdoor,Hard,6,1,7,5,0,0
176,Feliciano Lopez,Michael Venus,Outdoor,Hard,3,6,6,4,6,3
177,Steve Johnson,Stephane Robert,Outdoor,Hard,6,4,6,3,0,0
178,Marcos Baghdatis,Adrian Mannarino,Outdoor,Hard,6,4,6,4,0,0
179,Dustin Brown,Michael Mmoh,Outdoor,Hard,7,6,3,6,6,4
180,Jeremy Chardy,Artem Sitak,Outdoor,Hard,6,4,6,2,0,0
181,Robin Haase,Finn Tearney,Outdoor,Hard,6,4,7,5,0,0
182,Ryan Harrison,Guillermo Garcia-Lopez,Outdoor,Hard,6,1,6,2,0,0
183,Malek Jaziri,Diego Schwartzman,Outdoor,Hard,7,6,6,3,0,0
184,Brydan Klein,Facundo Bagnis,Outdoor,Hard,6,1,6,7,7,6
185,Yen-Hsun Lu,Karen Khachanov,Outdoor,Hard,4,6,7,6,7,6
186,Jiri Vesely,Horacio Zeballos,Outdoor,Hard,6,4,6,3,0,0
187,Ryan Harrison,Rubin Statham,Outdoor,Hard,6,4,6,1,0,0
188,Brydan Klein,Steven Diez,Outdoor,Hard,3,6,6,4,6,4
189,Michael Mmoh,Jerzy Janowicz,Outdoor,Hard,7,6,6,3,0,0
190,Finn Tearney,Cameron Norrie,Outdoor,Hard,6,1,6,3,0,0
191,Ryan Harrison,Marcin Matkowski,Outdoor,Hard,6,4,6,4,0,0
192,Steven Diez,Treat Huey,Outdoor,Hard,7,5,6,2,0,0
193,Michael Mmoh,Greg Jones,Outdoor,Hard,6,1,6,1,0,0
194,Cameron Norrie,Marcelo Demoliner,Outdoor,Hard,6,4,6,2,0,0
195,Jerzy Janowicz,Krisjanis Stabins,Outdoor,Hard,6,4,6,4,0,0
196,Brydan Klein,Masato Shiga,Outdoor,Hard,6,4,6,2,0,0
197,Rubin Statham,Rhett Purcell,Outdoor,Hard,7,6,6,0,0,0
198,Finn Tearney,Aisam-Ul-Haq Qureshi,Outdoor,Hard,4,6,7,5,(,R
199,Roger Federer,Rafael Nadal,Outdoor,Hard,6,4,3,6,6,1
200,Roger Federer,Stan Wawrinka,Outdoor,Hard,7,5,6,3,1,6
201,Rafael Nadal,Grigor Dimitrov,Outdoor,Hard,6,3,5,7,7,6
202,Rafael Nadal,Milos Raonic,Outdoor,Hard,6,4,7,6,6,4
203,Stan Wawrinka,Jo-Wilfried Tsonga,Outdoor,Hard,7,6,6,4,6,3
204,Grigor Dimitrov,David Goffin,Outdoor,Hard,6,3,6,2,6,4
205,Roger Federer,Mischa Zverev,Outdoor,Hard,6,1,7,5,6,2
206,Mischa Zverev,Andy Murray,Outdoor,Hard,7,5,5,7,6,2
207,Milos Raonic,Roberto Bautista Agut,Outdoor,Hard,7,6,3,6,6,4
208,Stan Wawrinka,Andreas Seppi,Outdoor,Hard,7,6,7,6,7,6
209,Roger Federer,Kei Nishikori,Outdoor,Hard,6,7,6,4,6,1
210,Rafael Nadal,Gael Monfils,Outdoor,Hard,6,3,6,3,4,6
211,David Goffin,Dominic Thiem,Outdoor,Hard,5,7,7,6,6,2
212,Jo-Wilfried Tsonga,Daniel Evans,Outdoor,Hard,6,7,6,2,6,4
213,Grigor Dimitrov,Denis Istomin,Outdoor,Hard,2,6,7,6,6,2
214,Andy Murray,Sam Querrey,Outdoor,Hard,6,4,6,2,6,4
215,Milos Raonic,Gilles Simon,Outdoor,Hard,6,2,7,6,3,6
216,Stan Wawrinka,Viktor Troicki,Outdoor,Hard,3,6,6,2,6,2
217,Kei Nishikori,Lukas Lacko,Outdoor,Hard,6,4,6,4,6,4
218,Gael Monfils,Philipp Kohlschreiber,Outdoor,Hard,6,3,7,6,6,4
219,Dominic Thiem,Benoit Paire,Outdoor,Hard,6,1,4,6,6,4
220,Rafael Nadal,Alexander Zverev,Outdoor,Hard,4,6,6,3,6,7
221,Roger Federer,Tomas Berdych,Outdoor,Hard,6,2,6,4,6,4
222,David Goffin,Ivo Karlovic,Outdoor,Hard,6,3,6,2,6,4
223,Jo-Wilfried Tsonga,Jack Sock,Outdoor,Hard,7,6,7,5,6,7
224,Roberto Bautista Agut,David Ferrer,Outdoor,Hard,7,5,6,7,7,6
225,Grigor Dimitrov,Richard Gasquet,Outdoor,Hard,6,3,6,2,6,4
226,Daniel Evans,Bernard Tomic,Outdoor,Hard,7,5,7,6,7,6
227,Denis Istomin,Pablo Carreno Busta,Outdoor,Hard,6,4,4,6,6,4
228,Andreas Seppi,Steve Darcis,Outdoor,Hard,4,6,6,4,7,6
229,Mischa Zverev,Malek Jaziri,Outdoor,Hard,6,1,4,6,6,3
230,Andy Murray,Andrey Rublev,Outdoor,Hard,6,3,6,0,6,2
231,Denis Istomin,Novak Djokovic,Outdoor,Hard,7,6,5,7,2,6
232,Milos Raonic,Gilles Muller,Outdoor,Hard,6,3,6,4,7,6
233,Stan Wawrinka,Steve Johnson,Outdoor,Hard,6,3,6,4,6,4
234,Kei Nishikori,Jeremy Chardy,Outdoor,Hard,6,3,6,4,6,3
235,Gael Monfils,Alexandr Dolgopolov,Outdoor,Hard,6,3,6,4,1,6
236,Daniel Evans,Marin Cilic,Outdoor,Hard,3,6,7,5,6,3
237,Dominic Thiem,Jordan Thompson,Outdoor,Hard,6,2,6,1,6,7
238,Rafael Nadal,Marcos Baghdatis,Outdoor,Hard,6,3,6,1,6,3
239,Tomas Berdych,Ryan Harrison,Outdoor,Hard,6,3,7,6,6,2
240,David Goffin,Radek Stepanek,Outdoor,Hard,6,4,6,0,6,3
241,Jo-Wilfried Tsonga,Dusan Lajovic,Outdoor,Hard,6,2,6,2,6,3
242,Roberto Bautista Agut,Yoshihito Nishioka,Outdoor,Hard,6,2,6,3,6,3
243,Andreas Seppi,Nick Kyrgios,Outdoor,Hard,1,6,6,7,6,4
244,Grigor Dimitrov,Hyeon Chung,Outdoor,Hard,1,6,6,4,6,4
245,Roger Federer,Noah Rubin,Outdoor,Hard,7,5,6,3,7,6
246,Richard Gasquet,Carlos Berlocq,Outdoor,Hard,6,1,6,1,6,1
247,Mischa Zverev,John Isner,Outdoor,Hard,6,7,6,7,6,4
248,Ivo Karlovic,Andrew Whittington,Outdoor,Hard,6,4,6,4,6,4
249,David Ferrer,Ernesto Escobedo,Outdoor,Hard,2,6,6,4,6,4
250,Jack Sock,Karen Khachanov,Outdoor,Hard,6,3,6,4,6,4
251,Alexander Zverev,Frances Tiafoe,Outdoor,Hard,6,2,6,3,6,4
252,Gilles Simon,Rogerio Dutra Silva,Outdoor,Hard,6,4,6,1,6,1
253,Bernard Tomic,Victor Estrella Burgos,Outdoor,Hard,7,5,7,6,4,6
254,Viktor Troicki,Paolo Lorenzi,Outdoor,Hard,6,3,1,6,7,6
255,Pablo Carreno Busta,Kyle Edmund,Outdoor,Hard,6,2,6,4,6,2
256,Sam Querrey,Alex de Minaur,Outdoor,Hard,7,6,6,0,6,1
257,Philipp Kohlschreiber,Donald Young,Outdoor,Hard,7,5,6,3,6,0
258,Steve Darcis,Diego Schwartzman,Outdoor,Hard,6,3,6,3,2,6
259,Malek Jaziri,Alexander Bublik,Outdoor,Hard,6,2,6,3,7,5
260,Lukas Lacko,Dudi Sela,Outdoor,Hard,2,6,6,3,6,2
261,Benoit Paire,Fabio Fognini,Outdoor,Hard,7,6,4,6,6,3
262,Andy Murray,Illya Marchenko,Outdoor,Hard,7,5,7,6,6,2
263,Novak Djokovic,Fernando Verdasco,Outdoor,Hard,6,1,7,6,6,2
264,Milos Raonic,Dustin Brown,Outdoor,Hard,6,3,6,4,6,2
265,Stan Wawrinka,Martin Klizan,Outdoor,Hard,4,6,6,4,7,5
266,Kei Nishikori,Andrey Kuznetsov,Outdoor,Hard,5,7,6,1,6,4
267,Gael Monfils,Jiri Vesely,Outdoor,Hard,6,2,6,3,6,2
268,Marin Cilic,Jerzy Janowicz,Outdoor,Hard,4,6,4,6,6,2
269,Dominic Thiem,Jan-Lennard Struff,Outdoor,Hard,4,6,6,4,6,4
270,Rafael Nadal,Florian Mayer,Outdoor,Hard,6,3,6,4,6,4
271,Tomas Berdych,Luca Vanni,Outdoor,Hard,6,1,(,R,0,0
272,David Goffin,Reilly Opelka,Outdoor,Hard,6,4,4,6,6,2
273,Jo-Wilfried Tsonga,Thiago Monteiro,Outdoor,Hard,6,1,6,3,6,7
274,Roberto Bautista Agut,Guido Pella,Outdoor,Hard,6,3,6,1,6,1
275,Nick Kyrgios,Gastao Elias,Outdoor,Hard,6,1,6,2,6,2
276,Grigor Dimitrov,Christopher O'Connell,Outdoor,Hard,7,6,6,3,6,3
277,Alexander Bublik,Lucas Pouille,Outdoor,Hard,6,0,3,6,6,3
278,Roger Federer,Jurgen Melzer,Outdoor,Hard,7,5,3,6,6,2
279,Richard Gasquet,Blake Mott,Outdoor,Hard,6,4,6,4,6,2
280,John Isner,Konstantin Kravchuk,Outdoor,Hard,6,3,6,4,6,7
281,Ivo Karlovic,Horacio Zeballos,Outdoor,Hard,6,7,3,6,7,5
282,David Ferrer,Omar Jasika,Outdoor,Hard,6,3,6,0,6,2
283,Diego Schwartzman,Pablo Cuevas,Outdoor,Hard,6,3,6,3,6,0
284,Jack Sock,Pierre-Hugues Herbert,Outdoor,Hard,6,4,7,6,6,3
285,Alexander Zverev,Robin Haase,Outdoor,Hard,6,2,3,6,5,7
286,Gilles Simon,Michael Mmoh,Outdoor,Hard,6,1,6,3,6,3
287,Lukas Lacko,Albert Ramos-Vinolas,Outdoor,Hard,4,6,7,5,1,6
288,Bernard Tomic,Thomaz Bellucci,Outdoor,Hard,6,2,6,1,6,4
289,Fabio Fognini,Feliciano Lopez,Outdoor,Hard,7,5,6,3,7,5
290,Viktor Troicki,Damir Dzumhur,Outdoor,Hard,6,4,6,4,2,6
291,Pablo Carreno Busta,Peter Polansky,Outdoor,Hard,6,0,3,6,3,6
292,Sam Querrey,Quentin Halys,Outdoor,Hard,6,7,7,6,6,3
293,Philipp Kohlschreiber,Nikoloz Basilashvili,Outdoor,Hard,6,4,3,6,7,6
294,Marcos Baghdatis,Mikhail Youzhny,Outdoor,Hard,6,3,3,0,(,R
295,Carlos Berlocq,Radu Albot,Outdoor,Hard,6,4,7,6,5,7
296,Jeremy Chardy,Nicolas Almagro,Outdoor,Hard,4,0,(,R,0,0
297,Hyeon Chung,Renzo Olivo,Outdoor,Hard,6,2,6,3,6,2
298,Steve Darcis,Sam Groth,Outdoor,Hard,3,6,6,3,6,2
299,Alex de Minaur,Gerald Melzer,Outdoor,Hard,5,7,6,3,2,6
300,Alexandr Dolgopolov,Borna Coric,Outdoor,Hard,6,3,6,4,3,6
301,Rogerio Dutra Silva,Jared Donaldson,Outdoor,Hard,3,6,0,6,6,1
302,Kyle Edmund,Santiago Giraldo,Outdoor,Hard,6,2,7,5,6,3
303,Ernesto Escobedo,Daniil Medvedev,Outdoor,Hard,7,5,4,6,7,6
304,Victor Estrella Burgos,Aljaz Bedene,Outdoor,Hard,7,6,7,5,0,6
305,Daniel Evans,Facundo Bagnis,Outdoor,Hard,7,6,6,3,6,1
306,Ryan Harrison,Nicolas Mahut,Outdoor,Hard,6,3,6,4,6,2
307,Denis Istomin,Ivan Dodig,Outdoor,Hard,6,1,6,4,3,6
308,Malek Jaziri,Go Soeda,Outdoor,Hard,6,3,6,4,6,3
309,Steve Johnson,Federico Delbonis,Outdoor,Hard,6,3,6,4,6,4
310,Karen Khachanov,Adrian Mannarino,Outdoor,Hard,6,4,3,6,7,6
311,Dusan Lajovic,Stephane Robert,Outdoor,Hard,6,3,6,3,6,3
312,Paolo Lorenzi,James Duckworth,Outdoor,Hard,6,4,7,6,6,7
313,Gilles Muller,Taylor Fritz,Outdoor,Hard,7,6,7,6,6,3
314,Yoshihito Nishioka,Alex Bolt,Outdoor,Hard,6,4,1,6,6,2
315,Benoit Paire,Tommy Haas,Outdoor,Hard,7,6,6,4,(,R
316,Noah Rubin,Bjorn Fratangelo,Outdoor,Hard,6,7,7,5,3,6
317,Andrey Rublev,Yen-Hsun Lu,Outdoor,Hard,4,6,6,3,7,6
318,Dudi Sela,Marcel Granollers,Outdoor,Hard,5,7,6,3,6,2
319,Andreas Seppi,Paul-Henri Mathieu,Outdoor,Hard,6,4,7,6,6,7
320,Radek Stepanek,Dmitry Tursunov,Outdoor,Hard,6,2,7,6,6,3
321,Jordan Thompson,Joao Sousa,Outdoor,Hard,6,7,4,6,6,3
